Z_slice,Number_of_neurons,GlyT2_mean,GlyT2_median,GlyT2_total,Gephyrin_mean,Gephyrin_median,Gephyrin_total
475,99,5.414,0.0,536,32.283,0.0,3196
476,95,2.589,0.0,246,29.453,0.0,2798
477,83,7.169,0.0,595,43.349,0.0,3598
478,100,7.82,0.0,782,39.22,0.0,3922
479,100,12.88,0.0,1288,44.14,11.0,4414
480,91,8.088,0.0,736,47.121,13.0,4288
481,80,10.562,0.0,845,43.862,0.0,3509
482,82,12.622,0.0,1035,39.866,0.0,3269
483,91,10.912,0.0,993,39.615,0.0,3605
484,87,17.425,0.0,1516,47.885,0.0,4166
485,86,15.186,0.0,1306,44.291,2.0,3809
486,95,14.884,0.0,1414,43.832,0.0,4164
487,69,14.188,0.0,979,52.87,0.0,3648
488,69,18.319,0.0,1264,61.159,41.0,4220
489,93,14.032,0.0,1305,43.957,0.0,4088
490,83,10.349,0.0,859,41.349,0.0,3432
491,84,12.988,0.0,1091,44.31,0.0,3722
492,73,20.671,0.0,1509,54.452,0.0,3975
493,64,22.438,0.0,1436,57.516,18.5,3681
494,60,32.35,0.0,1941,50.5,0.0,3030
495,60,37.133,0.0,2228,49.417,0.0,2965
496,65,32.031,0.0,2082,44.338,0.0,2882
497,81,26.395,0.0,2138,49.321,0.0,3995
498,63,25.778,0.0,1624,42.698,0.0,2690
499,64,37.703,0.0,2413,61.5,44.0,3936
500,68,32.706,0.0,2224,59.603,56.0,4053
501,79,23.519,0.0,1858,43.759,23.0,3457
502,77,30.935,0.0,2382,46.662,27.0,3593
503,66,20.455,0.0,1350,37.591,0.0,2481
504,65,25.477,0.0,1656,36.785,0.0,2391
505,71,31.831,0.0,2260,43.986,0.0,3123
506,72,26.0,0.0,1872,45.25,0.0,3258
507,66,26.515,0.0,1750,60.167,13.0,3971
508,61,22.262,0.0,1358,52.148,0.0,3181
509,71,20.169,0.0,1432,55.577,0.0,3946
510,69,8.333,0.0,575,53.551,0.0,3695
511,66,12.439,0.0,821,59.091,36.0,3900
512,71,13.845,0.0,983,50.423,0.0,3580
513,72,30.347,0.0,2185,58.931,38.5,4243
514,100,23.75,0.0,2375,57.3,14.0,5730
515,92,25.902,0.0,2383,53.913,36.5,4960
516,82,28.512,0.0,2338,56.89,35.5,4665
517,92,16.272,0.0,1497,44.587,30.5,4102
518,84,19.845,0.0,1667,38.429,19.0,3228
519,83,26.229,0.0,2177,34.916,5.0,2898
520,87,24.448,0.0,2127,34.943,22.0,3040
521,85,20.094,0.0,1708,33.306,16.0,2831
522,90,38.3,0.0,3447,33.767,26.0,3039
523,98,27.969,0.5,2741,34.082,22.5,3340
524,102,27.294,0.0,2784,34.294,25.0,3498
525,95,12.316,0.0,1170,24.6,12.0,2337
526,97,10.763,0.0,1044,25.742,17.0,2497
527,95,14.168,0.0,1346,25.105,10.0,2385
528,98,14.173,0.0,1389,29.582,10.0,2899
529,79,14.063,0.0,1111,21.43,0.0,1693
530,81,6.457,0.0,523,23.198,0.0,1879
531,77,14.299,0.0,1101,32.805,10.0,2526
532,100,13.85,0.0,1385,26.61,8.5,2661
533,91,15.198,0.0,1383,24.0,0.0,2184
534,102,19.402,0.0,1979,23.941,11.0,2442
535,111,19.694,0.0,2186,21.126,6.0,2345
536,107,11.15,0.0,1193,22.794,6.0,2439
